t1,1,0,0,0,0,0,0,0,0,0
t2,0,0,1,0,0,0,0,0,0,0
t3,0,1,0,0,1,0,0,0,1,0
t4,0,0,0,0,0,1,0,0,0,0
t5,0,0,0,0,0,0,0,0,0,1
t6,0,0,0,0,1,0,0,0,0,0
t7,0,0,1,0,0,1,0,0,0,1
t8,0,1,0,0,1,0,0,0,1,0
t9,0,0,1,0,0,1,0,0,0,1
t10,0,0,0,0,0,0,0,0,1,0
t11,0,1,1,0,0,0,0,0,0,0
t12,0,0,0,0,0,1,0,0,1,0
t13,0,0,0,0,1,0,0,0,0,1
t14,0,1,1,0,0,0,0,0,0,0
t15,0,0,0,0,0,1,0,0,1,0
t16,0,0,0,0,1,0,0,0,0,1
t17,0,1,0,0,1,1,0,0,0,0
t18,0,0,1,0,1,0,0,0,1,0
t19,0,1,0,0,0,0,0,0,1,1
t20,0,1,0,0,1,1,0,0,0,0
t21,0,0,1,0,1,0,0,0,1,0
t22,0,1,0,0,0,0,0,0,1,1
t23,1,0,0,0,0,0,0,0,0,0
t24,0,0,0,1,0,0,0,0,0,0
t25,0,0,0,0,0,0,1,0,0,0
t26,0,0,0,0,0,0,0,1,0,0
t27,1,0,0,1,0,0,0,0,0,0
t28,0,0,0,0,0,0,1,1,0,0
t29,1,0,0,1,0,0,0,0,0,0
t30,0,0,0,0,0,0,1,1,0,0
t31,1,0,0,0,0,0,1,0,0,0
t32,1,0,0,0,0,0,0,1,0,0
t33,1,0,0,0,0,0,1,0,0,0
t34,1,0,0,0,0,0,0,1,0,0
t35,0,0,0,1,0,0,1,0,0,0
t36,0,0,0,1,0,0,0,1,0,0
t37,0,0,0,1,0,0,1,0,0,0
t38,0,0,0,1,0,0,0,1,0,0
t39,1,0,0,1,0,0,1,0,0,0
t40,0,0,0,1,0,0,1,1,0,0
t41,1,0,0,1,0,0,1,0,0,0
t42,0,0,0,1,0,0,1,1,0,0
t43,1,0,0,0,0,0,1,1,0,0
t44,1,0,0,1,0,0,1,1,0,0
t45,1,0,0,0,0,0,1,1,0,0
t46,1,0,0,1,0,0,1,1,0,0
t47,0,1,0,0,0,0,0,0,0,0
t48,0,0,0,0,0,1,0,0,0,0
t49,0,0,1,0,1,0,0,0,1,0
t50,0,1,0,0,0,0,0,0,1,1
